category	dataset	file	source_url	bytes	md5	notes
batch_effect	FedscGen PBMC	data/FedscGen/PBMC.h5ad	https://zenodo.org/records/11489844/files/PBMC.h5ad?download=1	2146979296	21a88278a9e0bee95bd00178068720db	PBMC integration benchmark with batch annotations; Zenodo md5 verified.
batch_effect	FedscGen Human Pancreas	data/FedscGen/HumanPancreas.h5ad	https://zenodo.org/records/11489844/files/HumanPancreas.h5ad?download=1	1027152638	649de43a862ac1ae43e0d13da8b01a13	Cross-study pancreas integration benchmark; Zenodo md5 verified.
multimodal	Bone Marrow BMMCs GEX	data/Bone_Marrow_BMMCs/multiome_gex_processed_training.h5ad	https://huggingface.co/datasets/paupaiz/Bone_Marrow_BMMCs/resolve/main/multiome_gex_processed_training.h5ad	427799408		RNA modality for bone marrow multiome benchmark.
multimodal	Bone Marrow BMMCs ATAC	data/Bone_Marrow_BMMCs/multiome_atac_processed_training.h5ad	https://huggingface.co/datasets/paupaiz/Bone_Marrow_BMMCs/resolve/main/multiome_atac_processed_training.h5ad	1878156856		ATAC modality paired with BMMC GEX benchmark.
multimodal	10x PBMC Multiome 3k	data/10x_PBMC_Multiome_3k/pbmc_granulocyte_sorted_3k_filtered_feature_bc_matrix.h5	https://cf.10xgenomics.com/samples/cell-arc/1.0.0/pbmc_granulocyte_sorted_3k/pbmc_granulocyte_sorted_3k_filtered_feature_bc_matrix.h5	41498406	41925fd911399ee12174407334aba0c3	Compact ATAC+GEX feature-barcode HDF5 for quick checks.
consortium	Human Lung Cell Atlas core	data/HLCA/HLCA_core_CELLxGENE_2025-11-08.h5ad	https://cellxgene-census-public-us-west-2.s3.us-west-2.amazonaws.com/cell-census/2025-11-08/h5ads/066943a2-fdac-4b29-b348-40cede398e4e.h5ad	5873641828		CELLxGENE Census 2025-11-08 source H5AD for HLCA core dataset 066943a2-fdac-4b29-b348-40cede398e4e.
high_umi_non10x	Smart-seq3 PBMC UMI counts	data/SmartSeq3_E-MTAB-8735/HCA.UMIcounts.PBMC.txt	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/735/E-MTAB-8735/Files/HCA.UMIcounts.PBMC.txt	242990936	619131f2477b5d6e7a739ffd3e4046d6	High-depth non-10x Smart-seq3 PBMC UMI count table.
high_umi_non10x	Smart-seq3 PBMC read counts	data/SmartSeq3_E-MTAB-8735/HCA.readcounts.PBMC.txt	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/735/E-MTAB-8735/Files/HCA.readcounts.PBMC.txt	250495620		Read count companion table for Smart-seq3 PBMC.
high_umi_non10x	Smart-seq3 PBMC annotation	data/SmartSeq3_E-MTAB-8735/Smart3.PBMC.annotated.txt	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/735/E-MTAB-8735/Files/Smart3.PBMC.annotated.txt	227524		PBMC cell annotation table.
